case_id,title,date,status,amount,detail,link,link_detail
A5077,單親爸病重憂離世　「放不下相依高一女」,2021/02/04,已結案,1243893,明細,https://tw.appledaily.com/headline/20210204/3HDRNV6PGVBOJJT5J4BVY6N7IU/,https://tw.feature.appledaily.com/charity/projdetail/A5077
A5076,婦撐顧中風夫3子女　堅強做代工過年關,2021/02/03,已結案,1303678,明細,https://tw.appledaily.com/headline/20210203/NKQSVPM74NBMVBHTVGPGPI54FA/,https://tw.feature.appledaily.com/charity/projdetail/A5076
A5075,單親爸驚罹癌「內心哭泣」　為3子女盼治療順利,2021/02/02,已結案,1177423,明細,https://tw.appledaily.com/headline/20210202/AV357XDSDFBBNAE5OLOA5VAOEM/,https://tw.feature.appledaily.com/charity/projdetail/A5075
A5073,顧家男罹癌愁擁2幼子　「為他們要撐下去」,2021/01/29,已結案,1290241,明細,https://tw.appledaily.com/headline/20210129/JQ6GOPLHUFDORCCBLI5RB5Z6IE/,https://tw.feature.appledaily.com/charity/projdetail/A5073
A5072,男顧3子女病妻　不捨「她為家庭付出很多」,2021/01/28,已結案,1361238,明細,https://tw.appledaily.com/headline/20210128/ZLUHR3LO45FPZBI3PO22LCAACY/,https://tw.feature.appledaily.com/charity/projdetail/A5072
A5071,父病重母罹癌　國二獨子「讀教建班快助家計」,2021/01/27,已結案,1416022,明細,https://tw.appledaily.com/headline/20210127/QLQE5GSUDRDTHGYRBJDVDIPEKE/,https://tw.feature.appledaily.com/charity/projdetail/A5071
A5070,母癱父難工作　子女齊心撐住家「應該承擔的」,2021/01/26,已結案,970806,明細,https://tw.appledaily.com/headline/20210126/AOSANF3F5VA4VGCYEG2RB55DXI/,https://tw.feature.appledaily.com/charity/projdetail/A5070
A5069,嬤為3孫4度抗癌　「想多活照顧他們」,2021/01/25,已結案,1294683,明細,https://tw.appledaily.com/headline/20210125/5KXBX5MVMRA2NLVKZIBXXGPT6Q/,https://tw.feature.appledaily.com/charity/projdetail/A5069
A5068,母停工顧肝病中風父　高一子休學撐5口,2021/01/22,已結案,1201814,明細,https://tw.appledaily.com/headline/20210122/KFZHXQSSUVBF5PDME7OPHPRO2U/,https://tw.feature.appledaily.com/charity/projdetail/A5068
A5067,撐家女關節炎病變倒下　憂拖累雙親「快好起」,2021/01/21,已結案,953730,明細,https://tw.appledaily.com/headline/20210121/J6BEN2ZNBRDW7MIEBQDUXUNXAQ/,https://tw.feature.appledaily.com/charity/projdetail/A5067
A5066,壯碩父罹癌孱弱　高一女盼「爸不要離開我們」,2021/01/20,已結案,927666,明細,https://tw.appledaily.com/headline/20210120/C7TNX5B5RBDSZL6AUUURJAT4OQ/,https://tw.feature.appledaily.com/charity/projdetail/A5066
A5065,男中風痛哭　連累高一女休學更憂4歲子,2021/01/18,已結案,1254422,明細,https://tw.appledaily.com/headline/20210118/PP2WTE74EBEINGXVG2WTZS5OGE/,https://tw.feature.appledaily.com/charity/projdetail/A5065
A5064,父癌末　高二子盼明年考上警專扛家計,2021/01/15,已結案,883905,明細,https://tw.appledaily.com/headline/20210115/YCWKHC2YXVF3FGKUFRZVZQJK64/,https://tw.feature.appledaily.com/charity/projdetail/A5064
A5063,癌男憂5歲子沒有爸爸　「愁苦如千斤重」,2021/01/14,已結案,1015532,明細,https://tw.appledaily.com/headline/20210114/VHAH5LWW6JBNXGY3HSBU3WI2G4/,https://tw.feature.appledaily.com/charity/projdetail/A5063
A5062,老鞋匠驚腮腺癌轉胰臟　憂子女還未成年,2021/01/13,已結案,1017608,明細,https://tw.appledaily.com/headline/20210113/2TLWS2U46ZASFKALOOFF67VVDE/,https://tw.feature.appledaily.com/charity/projdetail/A5062
A5061,大四女休學顧中風養父　「他是我最重要的人」,2021/01/12,已結案,1402970,明細,https://tw.appledaily.com/headline/20210112/K2EURJPPH5F4FGE3S2FTL6N7MY/,https://tw.feature.appledaily.com/charity/projdetail/A5061
A5060,單親爸抱病做工瘦57公斤　「家真的沒辦法」,2021/01/11,已結案,1230505,明細,https://tw.appledaily.com/headline/20210111/DASJY6GKBJDFHDOH4DR27RVLOE/,https://tw.feature.appledaily.com/charity/projdetail/A5060
A5059,天真3幼女不知癌父病重　好爸爸「心很酸」,2021/01/08,已結案,1468790,明細,https://tw.appledaily.com/headline/20210108/QLSL46DWAJDMBIFWMFCXWBRBOA/,https://tw.feature.appledaily.com/charity/projdetail/A5059
A5058,悲情嬤養大孫未料撞癱　「再繼續顧3歲曾孫」,2021/01/07,已結案,1348058,明細,https://tw.appledaily.com/headline/20210107/D76EK7HHGVBD7EUECI7C4LNOIY/,https://tw.feature.appledaily.com/charity/projdetail/A5058
A5057,男罹癌後愁4口家計陷憂鬱　妻嘆「家變樣了」,2021/01/06,已結案,1049514,明細,https://tw.appledaily.com/headline/20210106/EW2WSMPKSVF45NGTPREBI77ABE/,https://tw.feature.appledaily.com/charity/projdetail/A5057
A5056,單親癌爸相依糖尿病兒　「盼子自立才能放心」,2021/01/05,已結案,1155713,明細,https://tw.appledaily.com/headline/20210105/WLWX6SWPX5FF3KSH25NZCZNJYQ/,https://tw.feature.appledaily.com/charity/projdetail/A5056
A5055,重病單親母為兒女努力呼吸　「我很愛我孩子」,2021/01/04,已結案,1349745,明細,https://tw.appledaily.com/headline/20210104/L2NRSJW6NBBERPLLOFSUZXEHN4/,https://tw.feature.appledaily.com/charity/projdetail/A5055
A5054,單親廚師爸罹舌癌　「拖累孩子很對不起」,2020/12/31,已結案,1079219,明細,https://tw.appledaily.com/headline/20201231/QTZ6HITBIZDSJJC3WYTGEVUMIQ/,https://tw.feature.appledaily.com/charity/projdetail/A5054
A5053,22歲單親媽力抗淋巴癌　「幼女是最大精神支柱」,2020/12/30,已結案,1546338,明細,https://tw.appledaily.com/headline/20201230/DNK5XU454RDLFBZUOZ7JE3LPVU/,https://tw.feature.appledaily.com/charity/projdetail/A5053
A5052,壯年男突罹癌　心酸泛淚盼過關「陪子成長」,2020/12/29,已結案,1145504,明細,https://tw.appledaily.com/headline/20201229/GZUWZHACXRHQNLLO5P5VRLV2TI/,https://tw.feature.appledaily.com/charity/projdetail/A5052
A5051,扛家單親爸癌末　「面臨生死放不下3子女」,2020/12/28,已結案,1714112,明細,https://tw.appledaily.com/headline/20201228/GJWNVFOJTJCJPMLYRRPAF3XGWI/,https://tw.feature.appledaily.com/charity/projdetail/A5051
A5050,子憨女幼　男二度中風哭喊 「爸爸拖累你們」,2020/12/25,已結案,1228079,明細,https://tw.appledaily.com/headline/20201225/GR4KVEUJENBYXGFJKQHPVEBKFI/,https://tw.feature.appledaily.com/charity/projdetail/A5050
A5049,單親母癌復發心驚　為2子女「只能繼續拚」,2020/12/24,已結案,1614174,明細,https://tw.appledaily.com/headline/20201224/LRGFALQ2DNCITAXYFB65P6ZKQI/,https://tw.feature.appledaily.com/charity/projdetail/A5049
A5048,食道癌男轉腦肺　妻「兒才11歲 不能哭太久」,2020/12/23,已結案,1277907,明細,https://tw.appledaily.com/headline/20201223/EYEBKUTHHFFOLHDFAAYYTS4NZE/,https://tw.feature.appledaily.com/charity/projdetail/A5048
A5047,妻做資源回收扛家顧癌夫　「懷抱希望不放棄」,2020/12/21,已結案,1206055,明細,https://tw.appledaily.com/headline/20201221/K46JVNOUY5ENRASAAKSYZW7AVE/,https://tw.feature.appledaily.com/charity/projdetail/A5047
A5046,女單親又中風　愧疚娘家父母「顧我苦扛生計」,2020/12/18,已結案,1194407,明細,https://tw.appledaily.com/headline/20201218/5FWZKOPRAJCJXK2RU3AU2EJ7EM/,https://tw.feature.appledaily.com/charity/projdetail/A5046
A5045,父逝母也罹癌倒　女棄求學路苦撐3口,2020/12/17,已結案,1698462,明細,https://tw.appledaily.com/headline/20201217/3UFJM2G66REVLBGUJ6PAQDE7LI/,https://tw.feature.appledaily.com/charity/projdetail/A5045
A5043,夫曾心疾撿回命今中風重癱　家人同心抗戰,2020/12/16,已結案,954696,明細,https://tw.appledaily.com/headline/20201216/AUQVOLZHHNBQZJNLLXAR7FCQPY/,https://tw.feature.appledaily.com/charity/projdetail/A5043
A5044,眼癌童嬤謝230萬善款赴日救視力 感恩貴人們,2020/12/15,已結案,2303610,明細,https://tw.appledaily.com/headline/20201215/CP2SGIUJU5FDNCH2RO3EYWTGN4/,https://tw.feature.appledaily.com/charity/projdetail/A5044
A5042,深山夫妻接連罹癌惡化 「彼此顧到最後」,2020/12/14,已結案,1266699,明細,https://tw.appledaily.com/headline/20201214/Y3MDGKB2OJFAPFJKFJ3KKLEZMU/,https://tw.feature.appledaily.com/charity/projdetail/A5042
A5041,10歲童憂母病 緊擁呼喊「媽媽不要離開我」,2020/12/11,已結案,1446076,明細,https://tw.appledaily.com/headline/20201211/6LFVZMID6VG67BUKDXKE2BY4AY/,https://tw.feature.appledaily.com/charity/projdetail/A5041
